"word","meaningZh","example","lastAnswer","missedAt"
"sophomore","大二学生","The sophomore students have to choose their modules.","sophmer","2026-06-25 16:46:01"
"vehicle","车辆","Every vehicle must stop at the entrance.","`","2026-06-25 16:44:46"
"exit","出口","Use the emergency exit if there is a fire.","ac","2026-06-25 16:44:10"
"receipt","收据","Please keep your receipt in case you need a refund.","recepit","2026-06-25 16:43:38"
"proofreading","校对","Proofreading can help students avoid spelling mistakes.","proofeading","2026-06-25 16:43:14"
"economics","经济学","Economics teaches students how markets operate.","economic","2026-06-25 11:23:22"
"obesity","肥胖","Obesity can increase the risk of heart disease.","obsity","2026-06-25 11:22:25"
"habitat","栖息地","The forest is an important habitat for many birds.","habittat","2026-06-25 11:21:55"
"pharmacy","药店","You can buy the medicine at the pharmacy near the station.","pharmacyp","2026-06-25 11:21:34"
"passenger","乘客","Each passenger must show a ticket before boarding.","passengers","2026-06-25 11:20:54"
"tutorial","辅导课","The tutorial helped students understand the difficult topic.","tutor","2026-06-25 11:20:18"
"refund","退款","The shop gave me a full refund for the broken lamp.","refound","2026-06-25 11:19:57"
"route","路线","This route is faster during rush hour.","route","2026-06-25 11:19:39"
"disc","光盘；圆盘","The teacher gave us a disc with all the listening materials.","disk","2026-06-25 11:19:05"
"architecture","建筑学","He wants to study architecture because he enjoys designing buildings.","archtecture","2026-06-25 11:18:28"
"publication","出版物","The research became an important publication in the field.","publication","2026-06-25 11:17:23"
"tram","有轨电车","We took a tram from the station to the museum.","trian","2026-06-25 11:16:30"
"registration","注册；登记","Online registration closes at the end of this week.","registation","2026-06-25 11:16:08"
"experiment","实验","The experiment was carried out in a chemistry laboratory.","expirement","2026-06-25 11:15:25"
"secretary","秘书","The secretary arranged the meeting for Monday.","senctary","2026-06-25 11:14:39"
"receptionist","接待员","The receptionist asked me to wait in the foyer.","reciptior","2026-06-25 11:14:13"
"questionnaire","问卷","Participants were asked to complete a questionnaire.","questionniare","2026-06-25 11:13:04"
"metal","金属","The gate is made of strong metal.","metel","2026-06-25 11:12:35"
"lecturer","讲师","The lecturer explained the assignment clearly.","lecter","2026-06-25 11:11:56"
"kindergarten","幼儿园","Her son goes to kindergarten near their home.","kingergarten","2026-06-25 11:11:21"
"curriculum","课程体系","The school changed its curriculum to include more practical skills.","curricumlum","2026-06-25 11:10:16"
"bibliography","参考书目","Your essay must include a bibliography at the end.","bibligraphy","2026-06-25 11:09:45"
"vegetarian","素食者；素食的","My roommate is a vegetarian, so she does not eat meat.","vegterian","2026-06-25 11:08:50"
"morality","道德；道德观","The story raises questions about morality and justice.","marolity","2026-06-25 11:08:35"
"emissions","排放","The factory has reduced its carbon emissions.","emission","2026-06-25 11:04:13"
"clinic","诊所","She went to the clinic for a health check.","clininc","2026-06-25 11:03:28"
"seminar","研讨会","The professor gave a seminar on climate change.","seminer","2026-06-25 11:02:54"
"professor","教授","The professor gave a talk on climate change.","prefessor","2026-06-25 11:02:11"
"enrolment","入学；注册","Student enrolment has increased this year.","rollment","2026-06-25 11:01:23"
"concrete","混凝土","The bridge was built with concrete and steel.","cremete","2026-06-25 11:00:51"
"truck","卡车","A large truck delivered furniture to the building.","trunk","2026-06-25 11:00:27"
"colleague","同事","My colleague helped me prepare for the meeting.","colleauge","2026-06-25 10:58:49"
"grant","补助金；拨款","The university offered her a research grant.","ground","2026-06-25 10:58:29"
"engineer","工程师","The engineer checked the safety of the bridge.","engerineer","2026-06-25 10:58:14"
"garage","车库","He parked his car in the garage.","garash","2026-06-25 10:57:11"
"reptile","爬行动物","A lizard is a small reptile.","repetile","2026-06-25 10:56:11"
"roundabout","环岛","Take the second exit at the roundabout.","aro","2026-06-25 10:35:03"
"stacks","书库","Students are not allowed to enter the library stacks.","stack","2026-06-24 10:49:54"
"avenue","大街；林荫道","The hotel is located on Park Avenue.","aven","2026-06-24 10:42:43"
"nutrition","营养","Good nutrition is essential for healthy growth.","nurtrition","2026-06-24 10:32:11"
"maintenance","维护；保养","Regular maintenance can prevent equipment failure.","maintance","2026-06-24 10:22:46"
"survey","调查","The survey asked students about their study habits.","server","2026-06-24 10:21:19"
"hypothesis","假设","The experiment was designed to test the hypothesis.","hyposis","2026-06-24 10:16:32"
"entrance","入口","The main entrance is opposite the car park.","entrance","2026-06-24 10:15:56"
"fences","栅栏；围栏","The farmers built fences around the field.","fans","2026-06-24 10:15:35"
"cattle","牛；牲畜","The farmer keeps cattle on a large area of grassland.","cator","2026-06-24 10:10:11"
"bachelor","本科生；学士","He is studying for a bachelor degree in economics.","becholer","2026-06-22 13:53:41"
"bicycle","自行车","Riding a bicycle is cheaper than taking a taxi.","bycycle","2026-06-22 13:48:19"
"address","地址","Please write your full address on the registration form.","dress","2026-06-22 12:08:38"
"diploma","文凭","She earned a diploma in business management.","diplona","2026-06-22 12:03:37"
"cottage","小屋","They rented a small cottage near the lake.","cottage","2026-06-22 12:00:27"
"autumn","秋天","The trees in the park turn yellow in autumn.","autumn","2026-06-22 11:55:08"
"politics","政治","He became interested in politics after watching a public debate.","policis","2026-06-17 22:52:40"
"electronic","电子的","Students can submit their homework through an electronic system.","electric","2026-06-17 22:48:10"
"bungalow","平房","My grandparents live in a small bungalow near the coast.","bangalow","2026-06-17 22:46:15"
"economic","经济的；经济上的","The country is facing serious economic problems.","economic","2026-06-15 12:02:51"
"balcony","阳台","The apartment has a balcony with a view of the park.","bacony","2026-06-14 11:53:52"
"February","二月","My IELTS test is scheduled for February.","frubruray","2026-06-14 11:49:48"
"loan","贷款；借款","He took out a loan to buy a new car.","a","2026-06-13 11:35:40"
"October","十月","The course will begin in October.","octorber","2026-06-12 23:14:52"
"helicopter","待补充中文释义","The lecture focused on a helicopter, especially its role in a specific idea from the learning context.","Februry","2026-06-11 19:44:43"
"accommodation","住处；住宿；临时居所","The lecturer mentioned accommodation while explaining the plan for the new semester.","饿","2026-06-11 13:54:33"
"infrastructure","基础设施","A clear example of infrastructure appeared in the listening passage.","evidence","2026-06-11 13:54:23"
"sustainable","可持续的；不破坏环境的","The report described sustainable as a key issue in modern society.","2","2026-06-11 13:54:13"
